PROBEID	ENTREZID	GENENAME	SYMBOL	ENSEMBL	logFC	AveExpr	t	P.Value	adj.P.Val	B	test
3358906	387266	keratin associated protein 5-3	KRTAP5-3	ENSG00000196224	1.59111111111112	6.84111111111111	9.24799673259975	2.35116768922305e-08	4.31262933395737e-05	10.7918088893291	1
3358906	57830	keratin associated protein 5-8	KRTAP5-8	ENSG00000241233	1.59111111111112	6.84111111111111	9.24799673259975	2.35116768922305e-08	4.31262933395737e-05	10.7918088893291	1
3557811	102465801	microRNA 7703	MIR7703	ENSG00000283856	1.53444444444445	7.96388888888889	9.85604629475391	8.76236257758105e-09	2.069598745471e-05	11.533869741623	1
3557811	5721	proteasome activator subunit 2	PSME2	ENSG00000100911	1.53444444444445	7.96388888888889	9.85604629475391	8.76236257758105e-09	2.069598745471e-05	11.533869741623	1
3829300	80054	CEBPA divergent transcript	CEBPA-DT	ENSG00000267296	1.50666666666667	4.18444444444444	5.14006425801971	6.35214789141578e-05	0.00466057090793176	4.23226195224551	1
2575949	112714	tubulin alpha 3e	TUBA3E	ENSG00000152086	1.4	4.72333333333333	3.23722457145463	0.00445948285412683	0.0401134765435985	0.44896118889347	1
2575949	113457	tubulin alpha 3d	TUBA3D	ENSG00000075886	1.4	4.72333333333333	3.23722457145463	0.00445948285412683	0.0401134765435985	0.44896118889347	1
2575949	7278	tubulin alpha 3c	TUBA3C	ENSG00000198033	1.4	4.72333333333333	3.23722457145463	0.00445948285412683	0.0401134765435985	0.44896118889347	1
3474344	6175	ribosomal protein lateral stalk subunit P0	RPLP0	ENSG00000089157	1.12	7.87	8.22530315791307	1.36766874998946e-07	0.000143351223123896	9.41806722161105	1
2331511	353500	bone morphogenetic protein 8a	BMP8A	ENSG00000183682	1.07	6.08722222222222	6.16586134923911	7.18494118721084e-06	0.00177694090417638	6.12971872253419	1
2331511	64064	3-oxoacid CoA-transferase 2	OXCT2	ENSG00000198754	1.07	6.08722222222222	6.16586134923911	7.18494118721084e-06	0.00177694090417638	6.12971872253419	1
2331511	656	bone morphogenetic protein 8b	BMP8B	ENSG00000116985	1.07	6.08722222222222	6.16586134923911	7.18494118721084e-06	0.00177694090417638	6.12971872253419	1
