ACCNUM	ENTREZID	GENENAME	SYMBOL	ENSEMBL	logFC	AveExpr	t	P.Value	adj.P.Val	B	test
NM_000022	100	adenosine deaminase	ADA	ENSG00000196839	-0.113699874922846	11.3525964258686	-0.290770456997237	0.773114188597246	0.846772254562365	-3.86261582903987	0
NM_181690	10000	AKT serine/threonine kinase 3	AKT3	ENSG00000117020	0.65384097016797	11.3165938666576	2.00467911868419	0.0535709224372255	0.121235570553132	-2.02102341762345	0
BC004106	10001	mediator complex subunit 6	MED6	ENSG00000133997	0.0275474753677063	10.9687644848983	0.200974217141295	0.841998206338501	0.895623567388576	-3.88459501825573	0
NM_183385	10005	acyl-CoA thioesterase 8	ACOT8	ENSG00000101473	-0.956218147943401	10.9695627367169	-4.81644083627338	3.42985940001929e-05	0.000454651056500088	4.69171896010066	-1
AF260262	10006	abl interactor 1	ABI1	ENSG00000136754	0.567363374501403	13.2597407919976	2.96772112858794	0.00565788894470363	0.0215419205360857	-0.0437296367930378	1
NM_005471	10007	glucosamine-6-phosphate deaminase 1	GNPDA1	ENSG00000113552	-0.742379304052317	12.0292608838843	-6.26770321789787	5.1395846177653e-07	2.24802417743819e-05	8.63590194429135	-1
NM_006777	10009	zinc finger and BTB domain containing 33	ZBTB33	ENSG00000177485	0.228675043435079	10.9389629387698	0.980847678459651	0.334068927385148	0.474144123975032	-3.43223295415069	0
NM_004180	10010	TRAF family member associated NFKB activator	TANK	ENSG00000136560	0.556713900583468	13.5057458980629	4.13422724019987	0.000241899935537445	0.00190735897498345	2.86279257453177	1
AK127026	100101267	POM121 transmembrane nucleoporin C	POM121C	ENSG00000272391	0.037364779713462	13.3507575539565	0.411463289131882	0.683491905368521	0.780436165415689	-3.82051690870482	0
BC067895	10011	steroid receptor RNA activator 1	SRA1	ENSG00000213523	-0.285304684195154	12.1256476992028	-2.10526464603107	0.0432556896928347	0.102610740113157	-1.83979980890341	0
AK096196	100129434	uncharacterized LOC100129434	LOC100129434	ENSG00000233251	0.269611101635421	13.2002533125707	0.967514442430589	0.34058543789103	0.481003498106936	-3.44480211120384	0
BC069243	10013	histone deacetylase 6	HDAC6	ENSG00000094631	-0.317628376429765	11.9549492193945	-2.36353543127988	0.0243793349023076	0.0659346846058785	-1.34497980116245	0
NM_001039703	100132406	NBPF member 10	NBPF10	ENSG00000271425	0.148504686916674	11.9800753487255	0.577156446782896	0.567896192645885	0.688054685089682	-3.73947681676558	0
BC047782	100134934	TEN1 subunit of CST complex	TEN1	ENSG00000257949	0.173189537541067	11.0407015515709	1.1892549124373	0.243140624322945	0.376399850519773	-3.21504517436579	0
