ACCNUM	ENTREZID	GENENAME	SYMBOL	ENSEMBL	logFC	AveExpr	t	P.Value	adj.P.Val	B	test
NM_000022	100	adenosine deaminase	ADA	ENSG00000196839	-0.467218183417552	11.3525964258686	-1.19484075775745	0.240981592502585	0.427420437860131	-3.11886498012508	0
NM_181690	10000	AKT serine/threonine kinase 3	AKT3	ENSG00000117020	0.309674388022732	11.3165938666576	0.949462954426049	0.349543031458254	0.542306623503344	-3.36987041587215	0
NM_005466	10001	mediator complex subunit 6	MED6	ENSG00000133997	-0.123204776530091	10.9475439799156	-0.837453876234813	0.408585267760525	0.598112174369163	-3.46645704033269	0
NM_183385	10005	acyl-CoA thioesterase 8	ACOT8	ENSG00000101473	-0.388017435130712	10.9695627367169	-1.95443165742995	0.0594876329013893	0.163637909301362	-2.0275986993781	0
AF260262	10006	abl interactor 1	ABI1	ENSG00000136754	0.490535219431354	13.2597407919976	2.56585426632849	0.0152098680773596	0.0630170035614885	-0.858282974275485	0
NM_005471	10007	glucosamine-6-phosphate deaminase 1	GNPDA1	ENSG00000113552	-0.546132630570158	12.0292608838843	-4.61084681016698	6.20666102668879e-05	0.00112930954290484	4.15671806603238	-1
NM_006777	10009	zinc finger and BTB domain containing 33	ZBTB33	ENSG00000177485	0.0704081122199813	10.9389629387698	0.301998995510419	0.764618449109368	0.867097080874976	-3.76474742106814	0
NM_004180	10010	TRAF family member associated NFKB activator	TANK	ENSG00000136560	0.465405593202634	13.5057458980629	3.45616029911082	0.00157559750624617	0.0121313780469458	1.17749663807896	1
AK127026	100101267	POM121 transmembrane nucleoporin C	POM121C	ENSG00000272391	0.016368731549953	13.3507575539565	0.180253494711061	0.858096940549648	0.922649853227993	-3.79376413759871	0
BC067895	10011	steroid receptor RNA activator 1	SRA1	ENSG00000213523	-0.00273239490572408	12.1256476992028	-0.0201623552387297	0.984039791686966	0.992018492700644	-3.80964462346168	0
AK096196	100129434	uncharacterized LOC100129434	LOC100129434	ENSG00000233251	0.0771138008688403	13.2002533125707	0.276727165902124	0.783779735537453	0.877927451517927	-3.77197043316224	0
NM_006044	10013	histone deacetylase 6	HDAC6	ENSG00000094631	-0.231026714338558	11.8084674786409	-1.61720308269838	0.115709087537728	0.259623345723996	-2.56716849871512	0
NM_001039703	100132406	NBPF member 10	NBPF10	ENSG00000271425	-0.126658055716272	11.9800753487255	-0.492250547180714	0.625922357245776	0.772153000743802	-3.69032175099884	0
BC047782	100134934	TEN1 subunit of CST complex	TEN1	ENSG00000257949	0.107980557085401	11.0407015515709	0.741479016485508	0.463842127786706	0.646241138402146	-3.53999698119242	0
